Codigo,Descripcion,Precio,Rubro
3016,ACCESORIOS CABLE CANAL 20X10,20086,
3015,ACCESORIOS CABLE CANAL MULTIPLE,20086,
SH5,ACEITE SAPHIRUS,279531,
1035,ADAPTADOR P/ALEMAN,282929,
ATRAV,ADAPTADOR TRAVEL SIMPLE,200013,
D32,ADAPTADOR UNIVERSAL P/RIEL DIN 32A,422254,
AUNIV,ADAPTADOR UNIVERSAL VIAJERO,450120,
1036,ADAPTADORA 2A3,282929,
SH1,AEROSOL SAPHIRUS,424695,
3395,AISLADOR MN16,395428,
ALED,ALAMBRE LUMINOSO LED 3 MTS FRIO/CALIDO,200013,
S217,"APLIQUE ""OSLO"" 2XAR111 BCO/NG/PLATIL",4465014,
4963,"APLIQUE ""PRAGA"" 2 LUCES NIQUEL",7000092,
4961,"APLIQUE ""SEÑORIAL"" 2 LUCES NIQUEL",7000092,
AP310,APLIQUE 1 LUZ BASE VIDRIO POMPEY,3737429,
AP420,APLIQUE 2 LUCES BASE VIDRIO CUBO,8210033,
AR3L,APLIQUE 3 LUCES BARRAL 3XAR111,4856701,
AP340,APLIQUE 4 LUCES BASE VIDRIO POMPEY,14047299,
AR111P,APLIQUE AR111 PARED 1L,1900340,
9111PLATIL,APLIQUE C/PANTALLA 1 LUZ PLATIL,3645810,
8005/1,APLIQUE CABEZAL 8005 1XGU10,1427800,
8005/2,APLIQUE CABEZAL 8005 2XGU10,2764245,
8005/3,APLIQUE CABEZAL 8005 3XGU10,3984772,
GU10P,APLIQUE DICRO GU10 PARED 1L,1640107,
151N,APLIQUE FAROL ASTRO,5465613,
4605/1PLATIL,APLIQUE G9 1 LUZ C/BARRAL,3091703,
AP128,"APLIQUE JAULA ""PORTO"" 1XE27",1615772,
AP228,"APLIQUE JAULA ""PORTO"" 2XE27",3410648,
AP117,APLIQUE JAULA CABLE TEXTIL,2785494,
AP-JAULA,APLIQUE JAULA TUBO/RAYO,2549020,
2809,APLIQUE MADERA 2 LUCES C/HIERRO,14403853,
0013,APLIQUE MONOVOLUMEN REDONDO GU10 BCO/NG,642944,
AP163,APLIQUE ORLEANS,2785494,
0014,APLIQUE SEMIEMBUTIDO REDONDO GU10 BCO/NG,568776,
9022,APLIQUE STAR 2 LUCES BCO/NG/PLATIL,6069602,
113,APLIQUE VENTILADOR DE TECHO PVC,1329657,
1003,ARAÑA 3 LUCES VENTILADOR DORADO/PLATIL,4671067,
AR005,ARAÑA 4 LUCES C/CAIRELES P.ORGANZA,13498465,
AR500,ARAÑA 5 LUCES PLATIL C/PANTALLA CIRCULAR,13498465,
004-2L,ARAÑA VENTILADOR 2 LUCES B/N,1866700,
004-3L,ARAÑA VENTILADOR 3 LUCES B/N,2335121,
4404,ARAÑA VENTILADOR 3 LUCES MOVIL,5200864,
AV8,ARAÑA VINTAGE 8 LUCES,10496903,
VIDA3,ARBOL DE LA VIDA N3,389825,
ARO2,ARO LED C/PIE Y SOPORTE P/CELULAR,1296429,
ARO1,ARO LED RGB O 3 TONOS P/TRIPODE,1800117,
ST111,ARRANCADOR OSRAM ST111,89056,
ASPR,ASTRONAUTA PROYECTOR GALAXIA LASER,3000074,
3314,ATENUADOR 1500W RBC RIEL,759666,
3385,AUTOMATICO P/CAJA 5X10 SECUEN,3636534,
1050,AUTOMATICO PALIER 2 CABLES,3636534,
1051,AUTOMATICO PALIER 3 CABLES,3636534,
X25,BABACHA/TACITA PVC,45215,
BA13W,BAJO ALACENA 13W LED 90CM,750079,
BA18W,BAJO ALACENA 18W LED 120CM,900119,
BA5W,BAJO ALACENA 5W LED 30CM,516756,
BA60LL,BAJO ALACENA 60CM 9W CANDELA C/LLAVE,700348,
BA90LL,BAJO ALACENA 90CM 12W CANDELA C/LLAVE,790009,
BA9W,BAJO ALACENA 9W LED 60CM,602978,
BAR,BAJO ALACENA USB C/SENSOR 3 TONOS,1900063,
SF-400,BALANZA DIGITAL DE COCINA 10KG,750079,
16069,BALDE MOPA,507277,
B100,BANDEJA PERF.100X50MM X 3 MTS,2219932,
B150,BANDEJA PERF.150X50MM X 3 MTS,2581256,
B50,BANDEJA PERF.50X50MM X 3 MTS,1741651,
BAT3,BARRAL 3L NG/BCO/PLATIL 58X8,1500181,
80014L,BARRAL 4 LUCES AR111 BCO/NEGRO,9045735,
X33,BARRAL 4L NG/BCO 89CM,1487865,
X38,BARRAL RECTANG.11 LUCES 1165X22X156,3466802,
7929T2L,BARRAL RECTO 2 LUCES CUBETO,10285000,
7979PLATIL,BARRAL RECTO 3 LUCES PLATIL,10906963,
7800T2L,BARRAL S 2 LUCES TULIPA VIDRIO,8802879,
4209T3L,BARRAL S 3 LUCES GU10 CHAPA,9846352,
4409PLATIL,BARRAL S 3 LUCES PLATIL,10906963,
8909T4L,BARRAL S 4 LUCES GU10 CHAPA,14988822,
1083,BASE CHAPA 20CM P/FAROL,690888,
6026,BASE IND.2X16A+T,838688,
6027,BASE IND.3X16A,1112545,
6028,BASE IND.3X16A+T,1112545,
6031,BASE IND.3X32A,1026964,
6032,BASE IND.3X32A+T,1283706,
16B5P,BASE IND.EMB.16A 3P+N+T,3453461,
16B4P,BASE IND.EMB.16A 3P+T,3009149,
32B5P,BASE IND.EMB.32A 3P+N+T,4438522,
32B4P,BASE IND.EMB.32A 3P+T,4218181,
16E5P,BASE IND.EXT.16A 3P+N+T,6001600,
32E5P,BASE IND.EXT.32A 3P+N+T,8875108,
BNH000,BASE NH T000 160A,766293,
BP001,BASE PIEDRA C/PORTAVELAS,170801,
9V,BATERIA 9V ENERGIZER,785780,
9VE,BATERIA 9V EVEREADY,445976,
6001,BATERIA ALARMA 12V 7A,3445596,
5001,"BATERIA LUZ EMERG.6V 2,8A/4A",2117542,
7409,BIDIRECCIONAL 1/2 LUNA,3972898,
B1,BIDIRECCIONAL B-1,1683642,
B2,BIDIRECCIONAL B-2,1542819,
B3,BIDIRECCIONAL B-3,1548278,
B4,BIDIRECCIONAL B-4,1425602,
B5,BIDIRECCIONAL B-5,1045058,
B6,BIDIRECCIONAL B-6,1394845,
B7,BIDIRECCIONAL B-7,1548278,
BN28,BOLITA CRISTAL 28 LEDS 5 MTS,550066,
SH23,BOLSITAS DE PERLAS SAGRADA MADRE,199348,
